question,answer,context
Gebze Teknik Üniversitesi'nde ön lisans ve lisans eğitiminin temel amacı nedir?,"Bu yönetmeliğin amacı, Gebze Teknik Üniversitesine bağlı fakültelerde yürütülen lisans düzeyinde ve meslek yüksekokullarında yürütülen ön lisans düzeyinde eğitim-öğretim esaslarını düzenlemektir.",MADDE 1 – (1) Bu Yönetmeliğin amacı; Gebze Teknik Üniversitesine bağlı fakültelerde yürütülen lisans düzeyinde ve meslek yüksekokullarında yürütülen ön lisans düzeyinde eğitim -öğretim esaslarına ilişkin hususları düzenlemektir.
"Bu yönetmelik, üniversitenin hangi eğitim seviyelerini kapsar?","Bu yönetmelik, Gebze Teknik Üniversitesi'ne bağlı fakültelerde yürütülen lisans düzeyinde ve meslek yüksekokullarında yürütülen ön lisans düzeyindeki eğitim-öğretimi kapsar.",MADDE 2 – (1) Bu Yönetmelik; Gebze Teknik Üniversitesine bağlı fakültelerde yürütülen lisans düzeyinde ve meslek yüksekokullarında yürütülen ön lisans düzeyinde eğitim -öğretim ile sınavlara ilişkin hükümleri kapsar.
Gebze Teknik Üniversitesi'ne kayıt yaptırabilmek için hangi sınavı kazanmak gereklidir?,Üniversitenin fakülte ve meslek yüksekokulu bölümlerine girebilmek için öğrenimiyle ilgili ÖSYM sınavını kazanmış olmak gerekmektedir.,"MADDE 5 – (3) Üniversite nin fakültelerine ve meslek yüksekokulları bölümlerine girebilmek için öğrenimiyle ilgili ÖSYM sınavını kazanmış olmak ve ön lisans programları için başka bir örgün ön lisans, lisans programları için örgün başka bir lisans programında kayıtlı olmamak şarttır."
"Üniversiteye kayıt yaptıran öğrenciler, İngilizce seviyelerini nasıl belirlerler?","Kayıt olan öğrenciler, üniversite tarafından düzenlenen İngilizce seviye tespit sınavına girerler. Ayrıca, Senato tarafından eşdeğerliği kabul edilen ulusal ve uluslararası sınavlarda başarılı olanlar bu sınavdan muaf tutulurlar.","MADDE 5 – (4) Kayıt olan öğrenciler, Üniversite tarafından düzenlenen ve tarihi ilan edilen İngilizce seviye tespit sınavına alınırlar. Senato tarafından eş değerliği kabul edilen ulusal ve uluslararası sınavlarda yine Senato tarafından belirlenen düzeyde başarılı olduklarını belgeleyenler, İngilizce seviye tespit sınavına girmeden ön lisans veya lisans öğrencisi olurlar."
İngilizce hazırlık sınıfında başarısız olan öğrencilerin durumu ne olur?,Hazırlık sınıfının ilk yılında yapılan İngilizce yeterlik sınavlarında başarısız olan öğrencilerin İngilizce hazırlık sınıfına devam etme hakkı bulunmaz. Ancak bir sonraki öğretim yılının başında ve devamında yapılan tüm İngilizce yeterlik sınavlarına girebilirler.,MADDE 5 – (5) Hazırlık sınıfının ilk yılında yapılan İngilizce yeterlik sınavlarında başarılı olamayan öğrencilerin İngilizce hazırlık sınıfına devam etme hakkı bulunmaz. Ancak bir sonraki öğretim yılının başında ve devamında yapılan tüm İngilizce yeterlik sınavlarına girebilirler.
İngilizce dil yeterliliğini belirli bir süre içinde belgeleyemeyen öğrencilere ne olur?,Dört yarıyıl sonunda İngilizce dil yeterliliğini belgeleyemeyen öğrencilerin üniversite ile ilişiği kesilir.,MADDE 5 – (6) Dört yarıyıl sonunda İngilizce dil yeterliğini belgeleyemeyen öğrencilerin Üniversite ile ilişiği kesilir.
"İngilizce hazırlıkta başarısız olan öğrenciler, başka bir üniversiteye geçiş yapabilir mi?","Evet, İngilizce öğretimin zorunlu olmadığı üniversitelere yerleştirilmek üzere ÖSYM'ye başvurabilir veya yatay geçiş yapabilirler.","MADDE 5 – (7) Gerek birinci yıl gerekse ikinci yıl sonunda başarısız olan öğrenciler isterlerse, 23/3/2016 tarihli ve 29662 sayılı Resmî Gazete’de yayımlanan Yükseköğretim Kurumlarında Yabancı Dil Öğretimi ve Yabancı Dille Öğretim Yapılmasında Uyulacak Esaslara İlişkin Yönetmeliğin 8 inci maddesinin on beşinci fıkrası uyarınca, İngilizce öğretimin zorunlu olmadığı üniversitelere yerleştirilmek üzere ÖSYM’ye başvurabilir veya yatay geçiş yapabilirler."
Öğrenci katkı payı veya öğrenim ücretleri ne zaman ödenir?,"Öğrenci katkı payı ve/veya öğrenim ücretleri, dönem başlarında akademik takvimde belirtilen tarihlerde ödenir.","MADDE 6 – (1) 2547 sayılı Kanunun 46 ncı maddesi ve ilgili diğer mevzuat hükümleri uyarınca belirlenen öğrenci katkı payı ve/veya öğrenim ücretleri, dönem başlarında akademik takvimde belirtilen tarihlerde ödenir."
Yatay geçişler hangi yönetmeliğe göre yapılır?,"Üniversite içinden veya dışından yapılacak her türlü yatay geçişler, Yükseköğretim Kurumlarında Önlisans ve Lisans Düzeyindeki Programlar Arasında Geçiş, Çift Anadal, Yan Dal ile Kurumlar Arası Kredi Transferi Yapılması Esaslarına İlişkin Yönetmelik hükümlerine göre yürütülür.","MADDE 7 – (1) Üniversite içinden veya dışından yapılacak her türlü yatay geçişler; 24/4/2010 tarihli ve 27561 sayılı Resmî Gazete’de yayımlanan Yükseköğretim Kurumlarında Önlisans ve Lisans Düzeyindeki Programlar Arasında Geçiş, Çift Anadal, Yan Dal ile Kurumlar Arası Kredi Transferi Yapılması Esaslarına İlişkin Yönetmelik hükümlerine göre yürütülür."
Dikey geçişler hangi yönetmeliğe göre yapılır?,"Dikey geçişler, Meslek Yüksekokulları ve Açıköğretim Ön Lisans Programları Mezunlarının Lisans Öğrenimine Devamları Hakkında Yönetmelik hükümlerine göre yapılır.",MADDE 7 – (2) Dikey geçişler hakkında; 19/2/2002 tarihli ve 24676 sayılı Resmî Gazete’de yayımlanan Meslek Yüksekokulları ve Açıköğretim Ön Lisans Programları Mezunlarının Lisans Öğrenimine Devamları Hakkında Yönetmelik hükümleri ile ilgili diğer mevzuat hükümleri u ygulanır.
Öğrencilere danışmanlar ne zaman atanır ve danışmanlık süreci nasıl yürütülür?,Her öğrenci için Senato tarafından çıkarılan yönergeye göre danışman atanır ve danışmanlık süreci mezuniyete kadar bu yönerge esasları çerçevesinde yürütülür.,MADDE 8 – (1) Her öğrenci için Senato tarafından çıkarılan yönergeye göre danışman atanır. Danışmanlık süreci bu yönerge esasları çerçevesinde mezuniyete kadar yürütülür.
Öğrenci kimlik kartları ne zaman verilir?,"Kesin kayıtlarını yaptıran öğrencilere, üniversite tarafından öğrenci olduklarını belirten fotoğraflı bir kimlik kartı verilir.","MADDE 9 – (1) Kesin kayıtlarını yaptıran öğrencilere, Üniversite tarafından öğrenci olduklarını belirten fotoğraflı bir kimlik kartı verilir."
Öğrenciler kayıtlarını ne zaman yenilemek zorundadır?,"Öğrenciler her yarıyıl, akademik takvimde belirlenen tarihlerde kayıtlarını yenilemek zorundadır.","MADDE 10 – (1) Öğrenciler her yarıyıl, akademik takvimde belirlenen tarihlerde Senato esasları ile belirlenen usullere göre kayıtlarını yenilemek zorundadır."
